"accgrpid","userid1","branchname","uwritrname"
124,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
125,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
126,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
127,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
128,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
129,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
130,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
131,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
132,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
133,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
134,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
135,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
136,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
137,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
138,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
139,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
140,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
141,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
142,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
143,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
144,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
145,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
146,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
147,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
148,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
149,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
150,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
151,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
152,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
153,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
154,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
155,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
156,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
157,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
158,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
159,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
160,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
161,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
162,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
163,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
164,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
165,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
166,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
167,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
168,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
169,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
170,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
171,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
172,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
173,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
174,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
175,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
176,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
177,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
178,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
179,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
180,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
181,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
182,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
183,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
184,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
185,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
186,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
187,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
188,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
189,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
190,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
191,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
192,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
193,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
194,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
195,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
196,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
197,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
198,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
199,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
200,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
201,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
202,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
203,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
204,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
205,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
206,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
207,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
208,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
209,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
210,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
211,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
212,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
213,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
214,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
215,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
216,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
217,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
218,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
219,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
220,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
221,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
222,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
223,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
224,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
225,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
226,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
227,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
228,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
229,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
230,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
231,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
232,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
233,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
234,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
235,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
236,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
237,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
238,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
239,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
240,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
241,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
242,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
243,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
244,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
245,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
246,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
247,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
248,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
249,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
250,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
251,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
252,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
253,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
254,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
255,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
256,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
257,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
258,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
259,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
260,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
261,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
262,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
263,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
264,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
265,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
266,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
267,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
268,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
269,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
270,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
271,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
272,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
273,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
274,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
275,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
276,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
277,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
278,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
279,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
280,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
281,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
282,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
283,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
284,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
285,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
286,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
287,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
288,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
289,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
290,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
291,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
292,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
293,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
294,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
295,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
296,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
