"cntrycode","bscr_entity","region","sum_pml","sum_net","count_policies","is_geocoded"
BS,"33",is_non_us,45691.12050421937,45691.12050421937,1,0
BW,"33",is_non_us,1105650.0,1105650.0,1,0
CH,"33",is_non_us,455287752.00667363,254653752.8459931,31,0
CL,"33",is_non_us,12254179.395542974,12254179.395542974,11,0
CN,"33",is_non_us,83336767.11848314,60168296.09843293,12,0
CO,"33",is_non_us,10564464.78990166,10564464.78990166,7,0
CY,"33",is_non_us,11907629.775,11907629.775,3,0
CZ,"33",is_non_us,23160777.437390402,23160777.437390402,1,0
DO,"33",is_non_us,363608.12963492284,363608.12963492284,1,0
EE,"33",is_non_us,75600.0,75600.0,1,0
ES,"33",is_non_us,56470650.59189952,32090656.105949756,5,0
FR,"33",is_non_us,22792119.227714762,15036554.642285924,7,0
GB,"33",is_non_us,100305.0,100305.0,1,0
GI,"33",is_non_us,3664028.2500000005,3664028.2500000005,1,0
GR,"33",is_non_us,101526194.69247444,93536279.86161366,19,0
GT,"33",is_non_us,2748894.4234269457,2748894.4234269457,4,0
HK,"33",is_non_us,16827200.250322174,16736239.938533975,11,0
ID,"33",is_non_us,0.0,0.0,1,0
IE,"33",is_non_us,16581742.491600001,16367413.116600003,11,0
IL,"33",is_non_us,9189487.720355295,9117495.493071498,7,0
IN,"33",is_non_us,21078587.25951058,10613797.626694173,2,0
KR,"33",is_non_us,49244.87432121422,24622.43716060711,1,0
KW,"33",is_non_us,174598.97110365692,174598.97110365692,1,0
KY,"33",is_non_us,273639.04390860215,136819.52195430108,1,0
LB,"33",is_non_us,40257079.14412823,38912554.21616226,7,0
LT,"33",is_non_us,5333505.48,5333505.48,2,0
MA,"33",is_non_us,216000.0,216000.0,1,0
MC,"33",is_non_us,25477438.61953574,20520481.249377515,10,0
MT,"33",is_non_us,2700.0,2700.0,1,0
MX,"33",is_non_us,5570458.340227749,5570458.340227749,1,0
NG,"33",is_non_us,2030716.4668542002,1015358.2334271001,1,0
NL,"33",is_non_us,23315804.834400002,23315804.834400002,3,0
NZ,"33",is_non_us,1698544.4738940117,1698544.4738940117,3,0
OM,"33",is_non_us,3375.0,3375.0,1,0
PA,"33",is_non_us,227153.57481309873,227153.57481309873,1,0
PH,"33",is_non_us,228455.60252109752,114227.80126054876,1,0
PL,"33",is_non_us,17153.100000000002,17153.100000000002,1,0
PT,"33",is_non_us,8872462.874094082,8872462.874094082,2,0
PY,"33",is_non_us,8668884.911024543,8668884.911024543,1,0
RO,"33",is_non_us,5400.0,5400.0,1,0
SA,"33",is_non_us,2756717.4032401154,1378358.7016200577,1,0
SC,"33",is_non_us,5473737.853307061,3472470.5828156243,3,0
SE,"33",is_non_us,144017548.0431663,86223843.48932883,5,0
