entity,region,max_coverage,workbook_present,max_definition,fx_assumption,old_normalized_sum_pml,eq_sum_pml,wind_sum_pml,eq_delta_sum_pml,max_sum_pml,max_delta_sum_pml,old_normalized_sum_net,eq_sum_net,wind_sum_net,eq_delta_sum_net,max_sum_net,max_delta_sum_net,old_normalized_count_policies,eq_count_policies,wind_count_policies,eq_delta_count_policies,eq_gross_delta_pct,eq_net_delta_pct
HIC,ALL,unavailable_incomplete_peril_coverage,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,164353167868.335299865,164343829767.138399992423,,-9338101.196899872577,,,164353167868.335299865,164343829767.138399992423,,-9338101.196899872577,,,173687,173683,,-4,-0.005681728754008990993985591919,-0.005681728754008990993985591919
HIC,is_eu,both_perils_for_all_reported_geocode_groups,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,163747905595.5870,163746600466.8874,165399769363.85414,-1305128.6996,165399769363.85414,1651863768.26714,163747905595.5870,163746600466.8874,165399769363.85414,-1305128.6996,165399769363.85414,1651863768.26714,173186,173185,173185,-1,-0.0007970353543472577826896764205,-0.0007970353543472577826896764205
HIC,is_jp,both_perils_for_all_reported_geocode_groups,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,372600.00,372600.0,372600.0,0.00,372600.0,0.00,372600.00,372600.0,372600.0,0.00,372600.0,0.00,2,2,2,0,0,0
HIC,is_na_eq,unavailable_incomplete_peril_coverage,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,286200.00,1064880.0,,778680.00,,,286200.00,1064880.0,,778680.00,,,1,5,,4,272.0754716981132075471698113,272.0754716981132075471698113
HIC,is_nahu,both_perils_for_all_reported_geocode_groups,False,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,,30707145.900000002,30707145.900000002,,30707145.900000002,,,30707145.900000002,30707145.900000002,,30707145.900000002,,,32,32,,,
HIC,is_us_all,both_perils_for_all_reported_geocode_groups,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,30843495.90,30707145.900000002,30707145.900000002,-136349.999999998,30707145.900000002,-136349.999999998,30843495.90,30707145.900000002,30707145.900000002,-136349.999999998,30707145.900000002,-136349.999999998,33,32,32,-1,-0.4420705112094572911237341290,-0.4420705112094572911237341290
HIG,ALL,unavailable_incomplete_peril_coverage,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,10862835100.5807262890,9923862868.99894745647,,-938972231.58177883253,,,8422292153.3526072315,7876828614.30062531717,,-545463539.05198191433,,,1970,1938,,-32,-8.643896578450145604299640853,-6.476426240270622527098202643
HIG,is_eu,both_perils_for_all_reported_geocode_groups,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,4144555324.408875120,3862019225.65166225182,3862019225.65166196982,-282536098.75721286818,3862019225.65166225182,-282536098.75721286818,3113429031.52239645,2962169297.03600685282,2962169297.03600752082,-151259734.48638959718,2962169297.03600752082,-151259734.48638892918,623,619,619,-4,-6.817042520659562014648647769,-4.858300380543024764443610917
HIG,is_jp,both_perils_for_all_reported_geocode_groups,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,247759313.0161405365,247759313.01614058,247759313.01614064,4.35E-8,247759313.01614064,1.035E-7,144497318.7397522635,144497318.7397525,144497318.73975253,2.365E-7,144497318.73975253,2.665E-7,42,42,42,0,1.755736221191659001078534450E-14,1.636708570530292681697847107E-13
HIG,is_na_eq,unavailable_incomplete_peril_coverage,True,"Sum geocode-group maxima after aggregating countries, separately for gross/net; never sum perils",1.35,10203767.316443907405,110841648.167366883,,100637880.850922975595,,,10203767.316443907405,100551466.846949913,,90347699.530506005595,,,4,27,,23,986.2816127602178897216629542,885.4347294347445433711363389
