entity,region,geocoded,csv_peril_id,presence,workbook_row,fx_assumption,workbook_sum_pml,workbook_normalized_sum_pml,csv_sum_pml,delta_sum_pml,workbook_sum_net,workbook_normalized_sum_net,csv_sum_net,delta_sum_net,workbook_count_policies,workbook_normalized_count_policies,csv_count_policies,delta_count_policies,result
HIG,ALL,0,1,both,8,workbook source units x1.35 -> CSV USD,699027304.74033594,943686861.3994535190,159149321.12381021732,-784537540.27564330168,406962151.02545899,549398903.8843696365,92249122.49038595402,-457149781.39398368248,55,55,29,-26,difference
HIG,ALL,1,1,both,9,workbook source units x1.35 -> CSV USD,7347517214.2083502,9919148239.181272770,9764713547.87513723915,-154434691.30613553085,5831772777.3838797,7872893249.468237595,7784579491.81023936315,-88313757.65799823185,1915,1915,1909,-6,difference
HIG,is_eu,0,2,both,17,workbook source units x1.35 -> CSV USD,210175711.440961,283737210.44529735,51540476.02489967872,-232196734.42039767128,112614669.916677,152029804.38751395,26049513.69102690972,-125980290.69648704028,11,11,7,-4,difference
HIG,is_eu,1,2,both,18,workbook source units x1.35 -> CSV USD,2859865269.6026502,3860818113.963577770,3810478749.6267622911,-50339364.3368154789,2193629057.13695,2961399227.1348825,2936119783.3449806111,-25279443.7899018889,612,612,612,0,difference
HIG,is_jp,1,2,both,24,workbook source units x1.35 -> CSV USD,183525417.04899299,247759313.0161405365,247759313.01614064,1.035E-7,107035050.91833501,144497318.7397522635,144497318.73975253,2.665E-7,42,42,42,0,match_within_0.01
HIG,is_jp_eq,1,1,csv_only,,workbook source units x1.35 -> CSV USD,,,247759313.01614064,247759313.01614064,,,144497318.73975256,144497318.73975256,,,42,42,csv_only
HIG,is_na_eq,1,1,both,31,workbook source units x1.35 -> CSV USD,7558346.1603288203,10203767.316443907405,110841648.167366883,100637880.850922975595,7558346.1603288203,10203767.316443907405,100551466.846949913,90347699.530506005595,4,4,27,23,difference
HIG,is_nahu,0,2,both,37,workbook source units x1.35 -> CSV USD,16448885.4299854,22205995.330480290,8620170.9061654791,-13585824.4243148109,16448885.4299854,22205995.330480290,8008553.8736005491,-14197441.4568797409,3,3,10,7,difference
HIG,is_nahu,1,2,both,38,workbook source units x1.35 -> CSV USD,299151865.576648,403855018.52847480,1619164342.864945415,1215309324.336470615,257947869.35099801,348229623.6238473135,1240193438.008364207,891963814.3845168935,91,91,312,221,difference
HIG,is_non_us,0,1,csv_only,,workbook source units x1.35 -> CSV USD,,,151058384.76013183532,151058384.76013183532,,,84769803.15927250802,84769803.15927250802,,,22,22,csv_only
HIG,is_non_us,1,1,csv_only,,workbook source units x1.35 -> CSV USD,,,8548874988.99617832825,8548874988.99617832825,,,6892086442.88323479525,6892086442.88323479525,,,1688,1688,csv_only
HIG,is_us_all,0,1,both,46,workbook source units x1.35 -> CSV USD,175292598.767708,236645008.33640580,8090936.363678377,-228554071.972727423,87273963.569168001,117819850.81837680135,7479319.331113447,-110340531.48726335435,20,20,7,-13,difference
HIG,is_us_all,1,1,both,47,workbook source units x1.35 -> CSV USD,906507554.61050797,1223785198.7241857595,1215838558.8789577,-7946639.8452280595,666539312.39975405,899828071.7396679675,892493048.9270042,-7335022.8126637675,227,227,221,-6,difference
HSA,ALL,0,1,both,10,workbook source units x1.35 -> CSV USD,349291128.70019001,471543023.7452565135,154794263.655014294,-316748760.0902422195,349291128.70019001,471543023.7452565135,154794263.655014294,-316748760.0902422195,201,201,187,-14,difference
HSA,ALL,1,1,both,11,workbook source units x1.35 -> CSV USD,77211907517.557693,104236075148.70288555,104205721903.10914321125,-30353245.59374233875,75515308379.154907,101945666311.85912445,101915313066.265495569244,-30353245.593628880756,89851,89851,89845,-6,difference
HSA,is_eu,0,2,both,19,workbook source units x1.35 -> CSV USD,75479150.000190407,101896852.50025704945,10680736.710014281,-91216115.79024276845,75479150.000190407,101896852.50025704945,10680736.710014281,-91216115.79024276845,112,112,104,-8,difference
HSA,is_eu,1,2,both,20,workbook source units x1.35 -> CSV USD,56019841640.209999,75626786214.28349865,75617723511.326301887,-9062702.957196763,54739890725.055099,73898852478.82438365,73889789775.867154185,-9062702.957229465,67520,67520,67520,0,difference
HSA,is_jp,1,2,both,25,workbook source units x1.35 -> CSV USD,20201080.800000001,27271459.08000000135,27271459.080000002,6.5E-10,20201080.800000001,27271459.08000000135,27271459.080000002,6.5E-10,23,23,23,0,match_within_0.01
HSA,is_jp_eq,1,1,csv_only,,workbook source units x1.35 -> CSV USD,,,27271459.080000002,27271459.080000002,,,27271459.080000002,27271459.080000002,,,23,23,csv_only
HSA,is_na_eq,1,1,both,32,workbook source units x1.35 -> CSV USD,560000,756000.00,7535709.720000001,6779709.720000001,560000,756000.00,7535709.720000001,6779709.720000001,2,2,9,7,difference
HSA,is_nahu,1,2,both,39,workbook source units x1.35 -> CSV USD,5450346.4000000004,7357967.640000000540,144753352.04153575103,137395384.401535750490,5450346.4000000004,7357967.640000000540,143663961.44153576103,136305993.801535760490,10,10,86,76,difference
HSA,is_non_us,0,1,csv_only,,workbook source units x1.35 -> CSV USD,,,154794263.655014284,154794263.655014284,,,154794263.655014284,154794263.655014284,,,187,187,csv_only
HSA,is_non_us,1,1,csv_only,,workbook source units x1.35 -> CSV USD,,,104068326518.70710142225,104068326518.70710142225,,,101779007072.463463801244,101779007072.463463801244,,,89769,89769,csv_only
HSA,is_us_all,1,1,both,48,workbook source units x1.35 -> CSV USD,101774358.815952,137395384.40153520,137395384.40153575,5.5E-7,100967402.815952,136305993.80153520,136305993.80153576,5.6E-7,76,76,76,0,match_within_0.01
