country,entity,region,geocoded,presence,legacy_sum_pml,legacy_normalized_sum_pml,csv_sum_pml,delta_sum_pml,legacy_sum_net,legacy_normalized_sum_net,csv_sum_net,delta_sum_net,legacy_count_policies,legacy_normalized_count_policies,csv_count_policies,delta_count_policies
AU,3624,ALL,0,old_only,108000.0,145800.000,0,-145800.000,108000.0,145800.000,0,-145800.000,1,1,0,-1
AU,3624,ALL,1,both,108000.0,145800.000,145800.0,0.000,108000.0,145800.000,145800.0,0.000,1,1,1,0
AU,HIC,ALL,1,both,151000.0,203850.000,203850.0,0.000,151000.0,203850.000,203850.0,0.000,3,3,3,0
AU,HSA,ALL,1,both,1463282.4,1975431.240,1975431.24,0.000,1463282.4,1975431.240,1975431.24,0.000,12,12,12,0
BE,33,ALL,0,both,15747994.657685466,21259792.78787537910,90808.02555768001,-21168984.76231769909,8286041.567590246,11186156.11624683210,45404.012778840006,-11140752.103467992094,5,5,1,-4
BE,33,ALL,1,both,280411812.0868323,378555946.317223605,378555946.3172236,-5E-9,203677116.44909048,274964107.2062721480,274964107.2062722,5.20E-8,57,57,57,0
BE,HIG,ALL,0,both,5588088.678349555,7543919.71577189925,30238.42243791272,-7513681.29333398653,5588088.678349555,7543919.71577189925,30238.42243791272,-7513681.29333398653,2,2,1,-1
BE,HIG,ALL,1,both,178447830.561038,240904571.25740130,240874332.83496338,-30238.42243792,166364677.92734915,224592315.2019213525,224562076.77948347,-30238.4224378825,46,46,46,0
BE,HSA,ALL,0,both,647970.0,874759.500,874759.5,0.000,647970.0,874759.500,874759.5,0.000,4,4,4,0
BE,HSA,ALL,1,both,9409929762.8,12703405179.780,12703405179.78,0.000,8909949616.0,12028431981.600,12028431981.6,0.000,6013,6013,6013,0
BG,HSA,ALL,1,both,5408820.0,7301907.000,7301907.000000001,1E-9,5408820.0,7301907.000,7301907.000000001,1E-9,6,6,6,0
BH,HIG,ALL,1,both,36117049.7450323,48758017.155793605,48758017.155793615,1.0E-8,18058524.87251615,24379008.5778968025,24379008.577896807,4.5E-9,1,1,1,0
BH,HSA,ALL,1,both,185600.0,250560.000,250560.00000000003,3E-11,185600.0,250560.000,250560.00000000003,3E-11,1,1,1,0
BL,HIG,ALL,1,both,63704.327682426,86000.84237127510,86000.84237127511,1E-11,63704.327682426,86000.84237127510,86000.84237127511,1E-11,1,1,1,0
BM,33,ALL,0,both,4196482.934460506,5665251.96152168310,149007.9938777658,-5516243.96764391730,4196482.934460506,5665251.96152168310,149007.9938777658,-5516243.96764391730,3,3,1,-2
BM,33,ALL,1,both,7305574.822161886,9862526.00991854610,9713518.016040782,-149007.99387776410,7305574.822161886,9862526.00991854610,9713518.016040782,-149007.99387776410,5,5,4,-1
BM,HIG,ALL,1,both,1854336.637133529,2503354.46013026415,2503354.4601302645,3.5E-10,1854336.637133529,2503354.46013026415,2503354.4601302645,3.5E-10,3,3,3,0
BN,HIG,ALL,1,both,510902.811414131,689718.79540907685,689718.795409077,1.5E-10,510902.811414131,689718.79540907685,689718.795409077,1.5E-10,1,1,1,0
BR,33,ALL,0,both,96654148.17925969,130483100.0420005815,55980557.770122945,-74502542.2718776365,62620844.42920324,84538139.9794243740,46207734.77338711,-38330405.2060372640,4,4,2,-2
BR,33,ALL,1,both,129080595.60927524,174258804.0725215740,118278246.30239865,-55980557.7701229240,93901441.28986606,126766945.7413191810,80559210.96793208,-46207734.7733871010,11,11,11,0
BR,HIG,ALL,0,both,28548158.064952828,38540013.38768631780,805367.9357391051,-37734645.45194721270,27781750.628017858,37505363.34782410830,457144.7374358818,-37048218.61038822650,3,3,2,-1
BR,HIG,ALL,1,both,104350136.50385842,140872684.2802088670,140763762.7410762,-108921.5391326670,90186641.26476035,121751965.7074264725,121643044.1682938,-108921.5391326725,34,34,34,0
BR,HSA,ALL,1,both,37120360.0,50112486.000,50112486,0.000,19120360.0,25812486.000,25812486,0.000,2,2,2,0
BS,33,ALL,0,both,3238733.284195006,4372289.93366325810,45691.12050421937,-4326598.81315903873,1653587.9751500457,2232343.766452561695,45691.12050421937,-2186652.645948342325,4,4,1,-3
BS,33,ALL,1,both,10107545.451947235,13645186.36012876725,13645186.360128768,7.5E-10,8522400.142902274,11505240.19291806990,11505240.19291807,1.0E-10,7,7,7,0
BS,HIG,ALL,1,both,307121.14469983,414613.5453447705,414613.5453447705,0E-10,307121.14469983,414613.5453447705,414613.5453447705,0E-10,4,4,4,0
BW,33,ALL,0,both,819000.0,1105650.000,1105650.0,0.000,819000.0,1105650.000,1105650.0,0.000,1,1,1,0
CA,33,ALL,0,old_only,18301343.574820016,24706813.82600702160,0,-24706813.82600702160,16479715.692330807,22247616.18464658945,0,-22247616.18464658945,4,4,0,-4
CA,33,ALL,1,both,210957528.07712308,284792662.9041161580,284792662.9041162,4.20E-8,106631319.72413285,143952281.6275793475,143952281.62757936,1.25E-8,18,18,18,0
CA,3624,ALL,0,old_only,110000.0,148500.000,0,-148500.000,110000.0,148500.000,0,-148500.000,1,1,0,-1
CA,3624,ALL,1,both,110000.0,148500.000,148500.0,0.000,110000.0,148500.000,148500.0,0.000,1,1,1,0
CA,HIC,ALL,1,both,212000.0,286200.000,286200.0,0.000,212000.0,286200.000,286200.0,0.000,1,1,1,0
CA,HIG,ALL,1,both,7558346.160328823,10203767.31644391105,10203767.316443913,1.95E-9,7558346.160328823,10203767.31644391105,10203767.316443913,1.95E-9,4,4,4,0
CA,HSA,ALL,1,both,560000.0,756000.000,756000.0,0.000,560000.0,756000.000,756000.0,0.000,2,2,2,0
CH,33,ALL,0,both,567471554.1259507,766086598.070033445,455287752.00667346,-310798846.063359985,316798265.652394,427677658.63073190,254653752.845993,-173023905.78473890,37,37,31,-6
CH,33,ALL,1,both,3452284902.26419,4660584618.0566565,4234644327.3618045,-425940290.6948520,2433750640.4874005,3285563364.657990675,3056635826.044474,-228927538.613516675,827,827,827,0
CH,3624,ALL,1,both,10994796.8,14842975.680,14842975.680000002,2E-9,10994796.8,14842975.680,14842975.680000002,2E-9,10,10,10,0
CH,HIC,ALL,1,both,218400.0,294840.000,294840.0,0.000,218400.0,294840.000,294840.0,0.000,1,1,1,0
CH,HIG,ALL,0,both,143985858.3950721,194380908.833347335,71066228.50825071,-123314680.325096625,75833109.03129183,102374697.1922439705,38370910.55070021,-64003786.6415437605,5,5,2,-3
CH,HIG,ALL,1,both,647581192.3902441,874234609.726829535,803168381.218579,-71066228.508250535,477046168.952406,644012328.08574810,605641417.5350479,-38370910.55070020,128,128,128,0
CH,HSA,ALL,1,both,358036.8,483349.680,483349.6800000001,1E-10,358036.8,483349.680,483349.6800000001,1E-10,4,4,4,0
CI,33,ALL,0,old_only,2841840.0,3836484.000,0,-3836484.000,1420920.0,1918242.000,0,-1918242.000,1,1,0,-1
CI,33,ALL,1,both,2841840.0,3836484.000,3836484.0000000005,5E-10,1420920.0,1918242.000,1918242.0000000002,2E-10,1,1,1,0
CL,33,ALL,0,both,13778406.45959011,18600848.7204466485,12254179.395542976,-6346669.3249036725,13778406.45959011,18600848.7204466485,12254179.395542976,-6346669.3249036725,11,11,11,0
CL,33,ALL,1,both,104253862.22035946,140742713.9974852710,138514812.0655221,-2227901.9319631710,79488495.52186815,107309468.9545220025,105081567.02255884,-2227901.9319631625,40,40,40,0
CL,HIG,ALL,1,both,33744152.288692705,45554605.58973515175,45554605.58973516,8.25E-9,19865822.28974565,26818860.0911566275,26818860.09115663,2.5E-9,7,7,7,0
CL,HSA,ALL,1,both,151336.0,204303.600,204303.6,0.000,151336.0,204303.600,204303.6,0.000,1,1,1,0
CN,33,ALL,0,both,65415404.641072765,88310796.26544823275,83336767.11848314,-4974029.14696509275,46728236.2248406,63083118.903534810,60168296.09843293,-2914822.805101880,16,16,12,-4
CN,33,ALL,1,both,106172177.81325063,143332440.0478883505,139189729.09518543,-4142710.9527029205,44299276.505305015,59804023.28216177025,55661312.32945884,-4142710.95270293025,14,14,12,-2
CN,HIG,ALL,1,both,2901471.1412626533,3916986.040704581955,3916986.040704583,1.045E-9,2901471.1412626533,3916986.040704581955,3916986.040704583,1.045E-9,10,10,10,0
CN,HSA,ALL,1,both,926.4,1250.640,1250.64,0.000,926.4,1250.640,1250.64,0.000,1,1,1,0
CO,33,ALL,0,both,11968513.260463474,16157492.90162568990,10564464.789901663,-5593028.11172402690,10758732.728265334,14524289.18315820090,10564464.789901663,-3959824.39325653790,8,8,7,-1
CO,33,ALL,1,both,151583328.4396453,204637493.393521155,201729846.05725148,-2907647.336269675,92511615.64190476,124890681.1165714260,121983033.78030175,-2907647.3362696760,28,28,28,0
CO,3624,ALL,0,both,185000.0,249750.000,249750.00000000003,3E-11,185000.0,249750.000,249750.00000000003,3E-11,1,1,1,0
CO,3624,ALL,1,old_only,185000.0,249750.000,0,-249750.000,185000.0,249750.000,0,-249750.000,1,1,0,-1
CO,HIG,ALL,0,old_only,1016712.044405,1372561.25994675,0,-1372561.25994675,1016712.044405,1372561.25994675,0,-1372561.25994675,1,1,0,-1
CO,HIG,ALL,1,both,26631650.897275828,35952728.71132236780,35952728.71132237,2.20E-9,26631650.897275828,35952728.71132236780,35952728.71132237,2.20E-9,20,20,20,0
CO,HSA,ALL,1,both,29828.0,40267.800,40267.8,0.000,29828.0,40267.800,40267.8,0.000,1,1,1,0
CR,33,ALL,1,both,1932798.116698511,2609277.45754298985,2609277.45754299,1.5E-10,1932798.116698511,2609277.45754298985,2609277.45754299,1.5E-10,2,2,2,0
CR,HIG,ALL,1,both,4187036.507769372,5652499.28548865220,5652499.285488652,-2.0E-10,4187036.507769372,5652499.28548865220,5652499.285488652,-2.0E-10,3,3,3,0
CR,HSA,ALL,1,both,58786.4,79361.640,79361.64000000001,1E-11,58786.4,79361.640,79361.64000000001,1E-11,1,1,1,0
CY,33,ALL,0,both,9480466.5,12798629.775,11907629.775,-891000.000,9480466.5,12798629.775,11907629.775,-891000.000,3,3,3,0
CY,33,ALL,1,both,41104787.13281488,55491462.6293000880,53934912.62930008,-1556550.0000000080,39213212.34980069,52937836.6722309315,51381286.67223094,-1556549.9999999915,6,6,6,0
CY,HIG,ALL,1,both,13452560.008875025,18160956.01198128375,18160956.01198129,6.25E-9,13452560.008875025,18160956.01198128375,18160956.01198129,6.25E-9,3,3,3,0
CY,HSA,ALL,0,old_only,570972.0,770812.200,0,-770812.200,570972.0,770812.200,0,-770812.200,1,1,0,-1
CY,HSA,ALL,1,both,3929326.0,5304590.100,5304590.100000001,1E-9,3929326.0,5304590.100,5304590.100000001,1E-9,5,5,5,0
CZ,33,ALL,0,both,17156131.435104,23160777.43739040,23160777.437390402,2E-9,17156131.435104,23160777.43739040,23160777.437390402,2E-9,1,1,1,0
CZ,33,ALL,1,both,17725731.435104,23929737.43739040,768960.0,-23160777.43739040,17725731.435104,23929737.43739040,768960.0,-23160777.43739040,4,4,3,-1
CZ,HIG,ALL,1,both,2316867.8928684248,3127771.655372373480,3127771.6553723738,3.20E-10,2316867.8928684248,3127771.655372373480,3127771.6553723738,3.20E-10,2,2,2,0
CZ,HSA,ALL,1,both,33669781.6,45454205.160,45454205.160000004,4E-9,33669781.6,45454205.160,45454205.160000004,4E-9,42,42,42,0
DE,33,ALL,0,old_only,5733618.086427593,7740384.41667725055,0,-7740384.41667725055,5522417.433213796,7455263.53483862460,0,-7455263.53483862460,4,4,0,-4
DE,33,ALL,1,both,183792082.0820087,248119310.810711745,248119310.8107117,-4.5E-8,115503381.26928669,155929564.7135370315,155929564.71353707,3.85E-8,33,33,33,0
DE,HIG,ALL,1,both,78023232.81688955,105331364.3028008925,105331364.30280092,2.75E-8,63972400.975255355,86362741.31659472925,86362741.31659475,2.075E-8,25,25,25,0
DE,HSA,ALL,0,old_only,11303190.0,15259306.500,0,-15259306.500,11303190.0,15259306.500,0,-15259306.500,2,2,0,-2
DE,HSA,ALL,1,both,12604811140.750692,17016495040.01343420,17016495040.01344,0.00000580,12542945496.660166,16932976420.49122410,16932976420.491232,0.00000790,21741,21741,21741,0
DK,33,ALL,1,both,618592460.8098859,835099822.093345965,835099822.0933458,-1.65E-7,568389716.2126927,767326116.887135145,767326116.8871353,1.55E-7,154,154,154,0
DK,HIG,ALL,1,both,915059.834910273,1235330.77712886855,1235330.7771288685,-5E-11,915059.834910273,1235330.77712886855,1235330.7771288685,-5E-11,2,2,2,0
DK,HSA,ALL,0,both,78660.0,106191.000,83835.0,-22356.000,78660.0,106191.000,83835.0,-22356.000,1,1,1,0
DK,HSA,ALL,1,both,24492760.43889,33065226.5925015,32981391.592501502,-83834.999999998,23901642.43889,32267217.2925015,32183382.2925015,-83835.0000000,91,91,91,0
DO,33,ALL,0,both,538678.710570256,727216.25926984560,363608.12963492284,-363608.12963492276,538678.710570256,727216.25926984560,363608.12963492284,-363608.12963492276,1,1,1,0
DO,33,ALL,1,both,23167430.6926036,31276031.435014860,30912423.30537994,-363608.129634920,23167430.6926036,31276031.435014860,30912423.30537994,-363608.129634920,10,10,10,0
DO,HIG,ALL,1,both,31309524.303163443,42267857.80927064805,42267857.80927065,1.95E-9,31309524.303163443,42267857.80927064805,42267857.80927065,1.95E-9,4,4,4,0
EC,33,ALL,1,both,6112118.112486638,8251359.45185696130,8251359.451856963,1.70E-9,6112118.112486638,8251359.45185696130,8251359.451856963,1.70E-9,3,3,3,0
EC,HIG,ALL,1,both,2710341.912483642,3658961.58185291670,3658961.5818529166,-1.0E-10,2710341.912483642,3658961.58185291670,3658961.5818529166,-1.0E-10,5,5,5,0
EE,33,ALL,0,both,56000.0,75600.000,75600.0,0.000,56000.0,75600.000,75600.0,0.000,1,1,1,0
ES,33,ALL,0,both,159239457.1495552,214973267.151899520,56470650.59189952,-158502616.560000000,89793522.3747776,121221255.205949760,32090656.105949763,-89130599.099999997,6,6,5,-1
ES,33,ALL,1,both,614384058.0465851,829418478.362889885,773010590.1138927,-56407888.248997185,420289442.80860513,567390747.7916169255,535331472.8571183,-32059274.9344986255,81,81,79,-2
ES,HIG,ALL,0,both,24551141.81245203,33144041.4468102405,6924829.565050622,-26219211.8817596185,24551141.81245203,33144041.4468102405,6924829.565050622,-26219211.8817596185,2,2,1,-1
ES,HIG,ALL,1,both,140190949.74196365,189257782.1516509275,182332952.5866003,-6924829.5650506275,132146400.35606736,178397640.4806909360,171472810.91564032,-6924829.5650506160,53,53,53,0
ES,HSA,ALL,0,both,92939537.0,125468374.950,23739416.55,-101728958.400,92939537.0,125468374.950,23739416.55,-101728958.400,11,11,10,-1
ES,HSA,ALL,1,both,9182639102.38856,12396562788.2245560,12380128063.724554,-16434724.5000020,8993955713.58856,12141840213.3445560,12125405488.844551,-16434724.5000050,6535,6535,6534,-1
FI,33,ALL,1,both,178626629.44654274,241145949.7528326990,241145949.75283274,4.10E-8,141265503.43659675,190708429.6394056125,190708429.63940564,2.75E-8,32,32,32,0
FI,HIG,ALL,1,both,311280.25391477,420228.3427849395,420228.3427849395,0E-10,311280.25391477,420228.3427849395,420228.3427849395,0E-10,2,2,2,0
FI,HSA,ALL,1,both,10916559.2,14737354.920,14737354.92,0.000,10916559.2,14737354.920,14737354.92,0.000,64,64,64,0
FR,33,ALL,0,both,269694076.2154452,364087002.890851020,22792119.227714762,-341294883.663136258,128815325.5824513,173900689.536309255,15036554.642285924,-158864134.894023331,21,21,7,-14
FR,33,ALL,1,both,2275085169.2213316,3071364978.448797660,3056498861.7811804,-14866116.667617260,1498937035.1383283,2023564997.436743205,2015996939.1029346,-7568058.333808605,333,333,332,-1
FR,HIG,ALL,0,both,55746827.5515675,75258217.194616125,34564144.78369116,-40694072.410924965,31311597.99824498,42270657.2976307230,17282072.39184558,-24988584.9057851430,4,4,1,-3
FR,HIG,ALL,1,both,1194735297.7703278,1612892651.989942530,1578328507.2062516,-34564144.783690930,899813220.6981075,1214747847.942445125,1197465775.5505998,-17282072.391845325,242,242,242,0
FR,HSA,ALL,0,both,61582623.2001904,83136541.320257040,9340465.080014281,-73796076.240242759,61582623.2001904,83136541.320257040,9340465.080014281,-73796076.240242759,97,97,95,-2
FR,HSA,ALL,1,both,20646599039.407322,27872908703.19988470,27872584960.479866,-323742.72001870,20218412584.742947,27294856989.40297845,27294533246.682964,-323742.72001445,27517,27517,27517,0
GB,33,ALL,0,both,152000.0,205200.000,100305.0,-104895.000,152000.0,205200.000,100305.0,-104895.000,1,1,1,0
GB,33,ALL,1,both,9371114846.996006,12651005043.44460810,12651005043.444607,-0.00000110,7182976179.930439,9697017842.90609265,9697017842.906094,0.00000135,1683,1683,1683,0
GB,3624,ALL,1,both,5578000.0,7530300.000,7530300.000000001,1E-9,5578000.0,7530300.000,7530300.000000001,1E-9,5,5,5,0
GB,HIC,ALL,0,both,7099946.0,9584927.100,8375254.2,-1209672.900,7099946.0,9584927.100,8375254.2,-1209672.900,15,15,14,-1
GB,HIC,ALL,1,both,121287644939.62,163738320668.4870,163738225212.6874,-95455.7996,121287644939.62,163738320668.4870,163738225212.6874,-95455.7996,173171,173171,173171,0
GB,HIG,ALL,0,both,148840795.21104398,200935073.5349093730,16946092.81877061,-183988980.7161387630,75714983.24008328,102215227.3741124280,8737202.876743417,-93478024.4973690110,5,5,5,0
GB,HIG,ALL,1,both,1251298742.3322592,1689253302.148549920,1673508321.0178623,-15744981.130687620,989829977.2341566,1336270469.266111410,1328303336.2904801,-7967132.975631310,267,267,267,0
GB,HSA,ALL,1,both,954681405.5471992,1288819897.488718920,1288819897.488719,8.0E-8,937681405.5471992,1265869897.488718920,1265869897.488719,8.0E-8,526,526,526,0
GG,33,ALL,1,both,5437249.791934295,7340287.21911129825,7340287.219111298,-2.5E-10,5174549.895967147,6985642.35955564845,6985642.35955565,1.55E-9,2,2,2,0
GG,HIC,ALL,1,both,88198734.98,119068292.2230,119068292.22299999,-1E-8,88198734.98,119068292.2230,119068292.22299999,-1E-8,67,67,67,0
GH,33,ALL,1,both,911500.0,1230525.000,1230525.0,0.000,911500.0,1230525.000,1230525.0,0.000,2,2,2,0
GI,33,ALL,0,both,2714095.0,3664028.250,3664028.2500000005,5E-10,2714095.0,3664028.250,3664028.2500000005,5E-10,1,1,1,0
GI,33,ALL,1,both,3760926.73626258,5077251.0939544830,5077251.093954483,0E-10,3760926.73626258,5077251.0939544830,5077251.093954483,0E-10,1,1,1,0
GI,HIC,ALL,0,both,1314558.0,1774653.300,1774653.3,0.000,1314558.0,1774653.300,1774653.3,0.000,3,3,3,0
GI,HIC,ALL,1,both,2806992.0,3789439.200,3789439.2,0.000,2806992.0,3789439.200,3789439.2,0.000,4,4,4,0
GI,HIG,ALL,1,both,64893037.6509875,87605600.828833125,87605600.82883313,5E-9,32446518.82549375,43802800.4144165625,43802800.41441657,7.5E-9,1,1,1,0
GR,33,ALL,0,both,121154640.90999785,163558765.2284970975,101526194.69247444,-62032570.5360226575,95061619.36495052,128333186.1426832020,93536279.86161363,-34796906.2810695720,22,22,19,-3
GR,33,ALL,1,both,281652901.3418503,380231416.811497905,315894475.9860364,-64336940.825461505,209271148.1360032,282516049.983604320,226065406.68128237,-56450643.302321950,43,43,41,-2
GR,HIG,ALL,0,both,18549221.216549587,25041448.64234194245,440880.8156598321,-24600567.82668211035,18549221.216549587,25041448.64234194245,440880.8156598321,-24600567.82668211035,1,1,1,0
GR,HIG,ALL,1,both,137250550.60094085,185288243.3112701475,184847362.49561036,-440880.8156597875,118380197.04944338,159813266.0167485630,159372385.20108876,-440880.8156598030,29,29,29,0
GR,HSA,ALL,0,both,19052763.8,25721231.130,24804736.380000003,-916494.749999997,19052763.8,25721231.130,24804736.380000003,-916494.749999997,9,9,9,0
GR,HSA,ALL,1,both,51640059.7,69714080.595,66741733.215,-2972347.380,51640059.7,69714080.595,66741733.215,-2972347.380,43,43,42,-1
GT,33,ALL,0,both,5197163.089095807,7016170.17027933945,2748894.4234269457,-4267275.74685239375,5197163.089095807,7016170.17027933945,2748894.4234269457,-4267275.74685239375,4,4,4,0
GT,33,ALL,1,both,13445853.44244048,18151902.1472946480,17594216.78988855,-557685.3574060980,13445853.44244048,18151902.1472946480,17594216.78988855,-557685.3574060980,10,10,10,0
GT,HIG,ALL,1,both,31380321.60531898,42363434.1671806230,42363434.16718062,-3.0E-9,31380321.60531898,42363434.1671806230,42363434.16718062,-3.0E-9,4,4,4,0
HK,33,ALL,0,both,69928150.64870977,94403003.3757581895,16827200.250322174,-77575803.1254360155,50023445.72733458,67531651.7319016830,16736239.938533973,-50795411.7933677100,20,20,11,-9
HK,33,ALL,1,both,103903349.83716828,140269522.2801771780,132239402.4156855,-8030119.8644916780,83998644.91579309,113398170.6363206715,105459011.08361721,-7939159.5527034615,31,31,31,0
HK,HIC,ALL,1,both,96000.0,129600.000,129600.00000000001,1E-11,96000.0,129600.000,129600.00000000001,1E-11,2,2,2,0
HK,HIG,ALL,1,both,39769245.25978132,53688481.1007047820,53688481.1007048,1.80E-8,30005127.267633423,40506921.81130512105,40506921.81130512,-1.05E-9,13,13,13,0
HK,HSA,ALL,1,both,125613043.2,169577608.320,169577608.32000002,2E-8,67166521.6,90674804.160,90674804.16,0.000,4,4,4,0
HN,33,ALL,1,both,2133373.76619045,2880054.5843571075,2880054.584357108,5E-10,2133373.76619045,2880054.5843571075,2880054.584357108,5E-10,1,1,1,0
HR,HSA,ALL,0,both,102856.0,138855.600,138855.6,0.000,102856.0,138855.600,138855.6,0.000,1,1,1,0
HR,HSA,ALL,1,both,214527712.568,289612411.96680,289612411.9668,0.00000,214527712.568,289612411.96680,289612411.9668,0.00000,629,629,629,0
HU,33,ALL,1,both,4368800.0,5897880.000,5897880.0,0.000,4368800.0,5897880.000,5897880.0,0.000,1,1,1,0
HU,HIG,ALL,1,both,3708462.342769897,5006424.16273936095,5006424.162739362,1.05E-9,3708462.342769897,5006424.16273936095,5006424.162739362,1.05E-9,2,2,2,0
HU,HSA,ALL,1,both,24783260.8,33457402.080,33457402.08,0.000,24783260.8,33457402.080,33457402.08,0.000,116,116,116,0
ID,33,ALL,0,both,0.0,0.000,0.0,0.000,0.0,0.000,0.0,0.000,1,1,1,0
ID,33,ALL,1,both,6355328.238240639,8579693.12162486265,8579693.121624863,3.5E-10,3497181.397450843,4721194.88655863805,4721194.886558638,-5E-11,3,3,2,-1
IE,33,ALL,0,both,59424635.864,80223258.41640,16581742.491600001,-63641515.924799999,42828507.564,57818485.21140,16367413.116600001,-41451072.094799999,11,11,11,0
IE,33,ALL,1,both,310615190.88789994,419330507.6986649190,416615175.74866503,-2715331.9499998890,210109419.3603245,283647716.136438075,281146713.5614381,-2501002.574999975,60,60,60,0
IE,HIG,ALL,1,both,9256595.006565984,12496403.25886407840,12496403.25886408,1.60E-9,9256595.006565984,12496403.25886407840,12496403.25886408,1.60E-9,3,3,3,0
IE,HSA,ALL,0,both,65258663.1,88099195.185,66108224.11500001,-21990971.06999999,65258663.1,88099195.185,66108224.11500001,-21990971.06999999,52,52,52,0
IE,HSA,ALL,1,both,5237425154.558512,7070523958.65399120,7063893426.363988,-6630532.29000320,5237425154.558512,7070523958.65399120,7063893426.363988,-6630532.29000320,9243,9243,9242,-1
IL,33,ALL,0,both,77873629.50602305,105129399.8331311175,9189487.720355295,-95939912.1127758225,49272739.651747815,66518198.52985955025,9117495.493071498,-57400703.03678805225,19,19,7,-12
IL,33,ALL,1,both,118255692.51285431,159645184.8923533185,151866580.56976274,-7778604.3225905785,88344175.71247579,119264637.2118423165,111558025.11653554,-7706612.0953067765,38,38,38,0
IL,HIG,ALL,0,both,973635.3115269479,1314407.670561379665,173120.739177033,-1141286.931384346665,973635.3115269479,1314407.670561379665,173120.739177033,-1141286.931384346665,1,1,1,0
IL,HIG,ALL,1,both,23608335.443846915,31871252.84919333525,31698132.1100163,-173120.73917703525,23608335.443846915,31871252.84919333525,31698132.1100163,-173120.73917703525,23,23,23,0
IL,HSA,ALL,1,both,3880302.4000000004,5238408.240000000540,5238408.240000001,4.60E-10,3880302.4000000004,5238408.240000000540,5238408.240000001,4.60E-10,3,3,3,0
IM,33,ALL,1,both,712941.0,962470.350,962470.3500000001,1E-10,712941.0,962470.350,962470.3500000001,1E-10,1,1,1,0
IM,HIC,ALL,0,old_only,4434700.0,5986845.000,0,-5986845.000,4434700.0,5986845.000,0,-5986845.000,1,1,0,-1
IM,HIC,ALL,1,both,198726910.07,268281328.5945,268281328.5945,0.0000,198726910.07,268281328.5945,268281328.5945,0.0000,184,184,184,0
