"cntrycode","bscr_entity","region","sum_pml","sum_net","count_policies","is_geocoded","peril_id"
PH,"33",ALL,228455.60252109752,114227.80126054876,1,0,1
PL,"33",ALL,17153.100000000002,17153.100000000002,1,0,1
PT,"33",ALL,8872462.874094082,8872462.874094082,2,0,1
PY,"33",ALL,8668884.911024543,8668884.911024543,1,0,1
RO,"33",ALL,5400.0,5400.0,1,0,1
SA,"33",ALL,2756717.4032401154,1378358.7016200577,1,0,1
SC,"33",ALL,5473737.853307061,3472470.5828156243,3,0,1
SE,"33",ALL,144017548.04316634,86223843.48932883,5,0,1
SN,"33",ALL,922428.0000000001,461214.00000000006,1,0,1
TH,"33",ALL,177687.6908497425,88843.84542487125,1,0,1
TW,"33",ALL,149007.9938777658,149007.9938777658,1,0,1
US,"33",ALL,2939741491.9117985,1771607113.6204693,305,0,1
UY,"33",ALL,35244002.16609751,21844065.720001776,4,0,1
VN,"33",ALL,15284.7,15284.7,1,0,1
ZA,"33",ALL,118098327.55945736,115366083.5005955,11,0,1
AE,"33",ALL,119528184.93298559,72149346.95935091,13,1,1
AR,"33",ALL,58128570.56250842,58128570.56250842,18,1,1
AT,"33",ALL,157524233.21209025,80090025.05667882,10,1,1
AU,"33",ALL,433656591.6945224,212095078.56593442,26,1,1
BE,"33",ALL,378555946.3172236,274964107.2062722,57,1,1
BM,"33",ALL,9713518.016040782,9713518.016040782,4,1,1
BR,"33",ALL,118278246.30239865,80559210.96793208,11,1,1
BS,"33",ALL,13645186.360128768,11505240.19291807,7,1,1
CA,"33",ALL,284792662.9041162,143952281.62757936,18,1,1
CH,"33",ALL,4234644327.3618045,3056635826.044474,827,1,1
CI,"33",ALL,3836484.0000000005,1918242.0000000002,1,1,1
CL,"33",ALL,138514812.0655221,105081567.02255884,40,1,1
CN,"33",ALL,139189729.09518543,55661312.32945884,12,1,1
CO,"33",ALL,201729846.05725148,121983033.78030175,28,1,1
CR,"33",ALL,2609277.45754299,2609277.45754299,2,1,1
CY,"33",ALL,53934912.62930008,51381286.67223094,6,1,1
CZ,"33",ALL,768960.0,768960.0,3,1,1
DE,"33",ALL,248119310.8107117,155929564.71353707,33,1,1
DK,"33",ALL,835099822.0933458,767326116.8871353,154,1,1
DO,"33",ALL,30912423.30537994,30912423.30537994,10,1,1
EC,"33",ALL,8251359.451856963,8251359.451856963,3,1,1
ES,"33",ALL,773010590.1138927,535331472.8571183,79,1,1
FI,"33",ALL,241145949.75283274,190708429.63940564,32,1,1
FR,"33",ALL,3056498861.7811804,2015996939.1029346,332,1,1
GB,"33",ALL,12651005043.444607,9697017842.906094,1683,1,1
GG,"33",ALL,7340287.219111298,6985642.35955565,2,1,1
GH,"33",ALL,1230525.0,1230525.0,2,1,1
GI,"33",ALL,5077251.093954483,5077251.093954483,1,1,1
GR,"33",ALL,315894475.9860364,226065406.68128237,41,1,1
GT,"33",ALL,17594216.78988855,17594216.78988855,10,1,1
HK,"33",ALL,132239402.4156855,105459011.08361721,31,1,1
HN,"33",ALL,2880054.584357108,2880054.584357108,1,1,1
HU,"33",ALL,5897880.0,5897880.0,1,1,1
ID,"33",ALL,8579693.121624863,4721194.886558638,2,1,1
IE,"33",ALL,416615175.74866503,281146713.5614381,60,1,1
IL,"33",ALL,151866580.56976274,111558025.11653554,38,1,1
IM,"33",ALL,962470.3500000001,962470.3500000001,1,1,1
IN,"33",ALL,149007.9938777658,149007.9938777658,1,1,1
IS,"33",ALL,7483622.65377863,7483622.65377863,4,1,1
IT,"33",ALL,1581794141.7765255,1113284946.7056859,206,1,1
JO,"33",ALL,6751.35,6751.35,1,1,1
JP,"33",ALL,112842416.11595233,64189409.84705542,10,1,1
KE,"33",ALL,685366.8075632912,342683.4037816456,1,1,1
KR,"33",ALL,149007.9938777658,149007.9938777658,1,1,1
KY,"33",ALL,4743382.045457961,4743382.045457961,1,1,1
LB,"33",ALL,31345206.45273694,27703500.014406793,9,1,1
LI,"33",ALL,15859316.742980117,15859316.742980117,4,1,1
LT,"33",ALL,4910139.0,4910139.0,4,1,1
LU,"33",ALL,20823764.637749515,20823764.637749515,4,1,1
MA,"33",ALL,642668.5874486682,642668.5874486682,1,1,1
MC,"33",ALL,440906630.1564291,261356690.83864295,41,1,1
MT,"33",ALL,1616322.6,1616322.6,1,1,1
MX,"33",ALL,25059321.210789915,25059321.210789915,13,1,1
MY,"33",ALL,4972716.948209203,2486358.4741046014,1,1,1
NG,"33",ALL,51300.0,51300.0,1,1,1
NL,"33",ALL,68411727.2047254,58122736.08275189,22,1,1
NO,"33",ALL,217580244.5896214,126402410.6997727,17,1,1
NZ,"33",ALL,12706353.065473013,12706353.065473013,11,1,1
PA,"33",ALL,10594579.558958476,10594579.558958476,7,1,1
PE,"33",ALL,199048586.68762654,154564225.0182894,40,1,1
PL,"33",ALL,15955786.786863977,15955786.786863977,6,1,1
PR,"33",ALL,7871182.158275532,7871182.158275532,2,1,1
PT,"33",ALL,149281147.6706434,59902666.95034636,12,1,1
QA,"33",ALL,525886.0545820856,524375.4345173847,2,1,1
SA,"33",ALL,17479281.41593587,8753140.707967935,2,1,1
SE,"33",ALL,3523062568.1485662,3224740725.7053013,462,1,1
SG,"33",ALL,101709192.04797299,57842983.693192355,15,1,1
SK,"33",ALL,9525457.34826036,9525457.34826036,2,1,1
SV,"33",ALL,3910137.7134132623,3910137.7134132623,4,1,1
TR,"33",ALL,15240463.44218325,10760170.10706991,3,1,1
TW,"33",ALL,3339168.2767235977,1677280.6881617988,2,1,1
US,"33",ALL,392727226.04008025,237721948.74355748,55,1,1
UY,"33",ALL,1779850.8927631278,1779850.8927631278,3,1,1
VC,"33",ALL,2430000.0,2430000.0,1,1,1
ZA,"33",ALL,150565819.699491,133209523.230385,25,1,1
AE,"3624",ALL,48600.0,48600.0,1,0,1
CO,"3624",ALL,249750.00000000003,249750.00000000003,1,0,1
AU,"3624",ALL,145800.0,145800.0,1,1,1
CA,"3624",ALL,148500.0,148500.0,1,1,1
CH,"3624",ALL,14842975.680000002,14842975.680000002,10,1,1
GB,"3624",ALL,7530300.000000001,7530300.000000001,5,1,1
IN,"3624",ALL,10800.0,10800.0,1,1,1
MX,"3624",ALL,270000.0,270000.0,1,1,1
SG,"3624",ALL,286200.0,286200.0,2,1,1
US,"3624",ALL,3324645.0,3324645.0,3,1,1
ZA,"3624",ALL,702000.0,702000.0,1,1,1
AE,HIC,ALL,74325.6,74325.6,1,0,1
GB,HIC,ALL,8375254.2,8375254.2,14,0,1
GI,HIC,ALL,1774653.3,1774653.3,3,0,1
JE,HIC,ALL,2900384.8200000003,2900384.8200000003,6,0,1
PK,HIC,ALL,22967.820000000003,22967.820000000003,1,0,1
US,HIC,ALL,136350.0,136350.0,1,0,1
AU,HIC,ALL,203850.0,203850.0,3,1,1
CA,HIC,ALL,286200.0,286200.0,1,1,1
CH,HIC,ALL,294840.0,294840.0,1,1,1
GB,HIC,ALL,163738225212.6874,163738225212.6874,173171,1,1
GG,HIC,ALL,119068292.22299999,119068292.22299999,67,1,1
GI,HIC,ALL,3789439.2,3789439.2,4,1,1
HK,HIC,ALL,129600.00000000001,129600.00000000001,2,1,1
IM,HIC,ALL,268281328.5945,268281328.5945,184,1,1
IN,HIC,ALL,126900.00000000001,126900.00000000001,1,1,1
JE,HIC,ALL,164563378.3935,164563378.3935,179,1,1
JP,HIC,ALL,372600.0,372600.0,2,1,1
MK,HIC,ALL,147150.0,147150.0,1,1,1
SG,HIC,ALL,1285988.4000000001,1285988.4000000001,5,1,1
TH,HIC,ALL,27000.0,27000.0,1,1,1
TW,HIC,ALL,371250.0,371250.0,1,1,1
US,HIC,ALL,30570795.900000002,30570795.900000002,31,1,1
ZA,HIC,ALL,2802006.0,2802006.0,3,1,1
AE,HIG,ALL,970704.7158275546,970704.7158275546,1,0,1
BE,HIG,ALL,30238.42243791272,30238.42243791272,1,0,1
BR,HIG,ALL,805367.9357391051,457144.7374358818,2,0,1
CH,HIG,ALL,71066228.50825071,38370910.55070021,2,0,1
ES,HIG,ALL,6924829.565050622,6924829.565050622,1,0,1
FR,HIG,ALL,34564144.78369116,17282072.39184558,1,0,1
GB,HIG,ALL,16946092.81877061,8737202.876743417,5,0,1
GR,HIG,ALL,440880.8156598321,440880.8156598321,1,0,1
IL,HIG,ALL,173120.739177033,173120.739177033,1,0,1
IT,HIG,ALL,2084027.4573474303,2084027.4573474303,2,0,1
LB,HIG,ALL,1015358.2334270974,1015358.2334270974,1,0,1
MC,HIG,ALL,15508156.22226567,7754078.111132835,1,0,1
MX,HIG,ALL,529234.5424871021,529234.5424871021,3,0,1
US,HIG,ALL,8090936.363678378,7479319.331113446,7,0,1
AE,HIG,ALL,1062556002.114713,1062556002.114713,279,1,1
AR,HIG,ALL,297023806.16844034,189645032.61084136,43,1,1
AT,HIG,ALL,14816298.531940576,14816298.531940576,5,1,1
BE,HIG,ALL,240874332.83496338,224562076.77948347,46,1,1
BH,HIG,ALL,48758017.155793615,24379008.577896807,1,1,1
BL,HIG,ALL,86000.84237127511,86000.84237127511,1,1,1
BM,HIG,ALL,2503354.4601302645,2503354.4601302645,3,1,1
BN,HIG,ALL,689718.795409077,689718.795409077,1,1,1
BR,HIG,ALL,140763762.7410762,121643044.1682938,34,1,1
BS,HIG,ALL,414613.5453447705,414613.5453447705,4,1,1
CA,HIG,ALL,10203767.316443913,10203767.316443913,4,1,1
CH,HIG,ALL,803168381.218579,605641417.5350479,128,1,1
CL,HIG,ALL,45554605.58973516,26818860.09115663,7,1,1
CN,HIG,ALL,3916986.040704583,3916986.040704583,10,1,1
CO,HIG,ALL,35952728.71132237,35952728.71132237,20,1,1
CR,HIG,ALL,5652499.285488652,5652499.285488652,3,1,1
CY,HIG,ALL,18160956.01198129,18160956.01198129,3,1,1
CZ,HIG,ALL,3127771.6553723738,3127771.6553723738,2,1,1
DE,HIG,ALL,105331364.30280092,86362741.31659475,25,1,1
DK,HIG,ALL,1235330.7771288685,1235330.7771288685,2,1,1
DO,HIG,ALL,42267857.80927065,42267857.80927065,4,1,1
EC,HIG,ALL,3658961.5818529166,3658961.5818529166,5,1,1
ES,HIG,ALL,182332952.5866003,171472810.91564032,53,1,1
FI,HIG,ALL,420228.3427849395,420228.3427849395,2,1,1
FR,HIG,ALL,1578328507.2062516,1197465775.5505998,242,1,1
GB,HIG,ALL,1673508321.0178623,1328303336.2904801,267,1,1
GI,HIG,ALL,87605600.82883313,43802800.41441657,1,1,1
GR,HIG,ALL,184847362.49561036,159372385.20108876,29,1,1
GT,HIG,ALL,42363434.16718062,42363434.16718062,4,1,1
HK,HIG,ALL,53688481.1007048,40506921.81130512,13,1,1
HU,HIG,ALL,5006424.162739362,5006424.162739362,2,1,1
IE,HIG,ALL,12496403.25886408,12496403.25886408,3,1,1
IL,HIG,ALL,31698132.1100163,31698132.1100163,23,1,1
IN,HIG,ALL,152562.65136358727,152562.65136358727,1,1,1
IS,HIG,ALL,297906.10568751063,297906.10568751063,1,1,1
IT,HIG,ALL,436331749.4502796,313390123.0342976,84,1,1
JE,HIG,ALL,11243915.838084206,11243915.838084206,2,1,1
JO,HIG,ALL,34089.27515079943,34089.27515079943,1,1,1
JP,HIG,ALL,247759313.01614058,144497318.7397525,42,1,1
KE,HIG,ALL,271222.49131304625,271222.49131304625,1,1,1
KR,HIG,ALL,18862468.298259597,18862468.298259597,22,1,1
LB,HIG,ALL,34755090.84232997,34755090.84232997,8,1,1
LK,HIG,ALL,112110.77934385299,112110.77934385299,1,1,1
LU,HIG,ALL,7386908.295803943,7386908.295803943,2,1,1
MA,HIG,ALL,104752861.51009029,104464326.94487986,9,1,1
MC,HIG,ALL,92410741.72600748,61851873.04191176,12,1,1
MU,HIG,ALL,2789129.0595526425,2789129.0595526425,1,1,1
MX,HIG,ALL,354567766.83019435,323321380.5034634,90,1,1
MY,HIG,ALL,477218.3697107356,477218.3697107356,1,1,1
NL,HIG,ALL,30942588.55304986,23013341.31303199,13,1,1
NO,HIG,ALL,1027479.3423833089,1027479.3423833089,2,1,1
NZ,HIG,ALL,7689415.529716157,7689415.529716157,5,1,1
OM,HIG,ALL,4820255.427439487,4820255.427439487,2,1,1
PA,HIG,ALL,11643636.330645764,11643636.330645764,10,1,1
PE,HIG,ALL,28614229.71915945,28614229.71915945,11,1,1
PH,HIG,ALL,170999.12002286385,170999.12002286385,2,1,1
PL,HIG,ALL,1299960.8300215108,1299960.8300215108,1,1,1
PR,HIG,ALL,2497497.400682924,2497497.400682924,3,1,1
PT,HIG,ALL,94557733.73236924,61267457.29695355,12,1,1
QA,HIG,ALL,6466045.215462786,6466045.215462786,3,1,1
RS,HIG,ALL,193924.08128882793,193924.08128882793,1,1,1
SA,HIG,ALL,33076609.9469442,33076609.9469442,9,1,1
SE,HIG,ALL,161014273.91737118,55933150.300326504,9,1,1
SG,HIG,ALL,43854299.75360634,43854299.75360634,8,1,1
SK,HIG,ALL,2885345.6526121097,2885345.6526121097,1,1,1
SV,HIG,ALL,1863690.037455438,1863690.037455438,1,1,1
TH,HIG,ALL,16958916.92641279,16577712.358759848,6,1,1
TR,HIG,ALL,488872.34690654295,488872.34690654295,2,1,1
TW,HIG,ALL,12320054.357616704,12320054.357616704,16,1,1
US,HIG,ALL,1215838558.878958,892493048.9270042,221,1,1
UY,HIG,ALL,24804017.729065187,24804017.729065187,13,1,1
VE,HIG,ALL,9335023.879721427,9335023.879721427,6,1,1
VG,HIG,ALL,270544.43508476357,270544.43508476357,1,1,1
VN,HIG,ALL,50767.91167135487,50767.91167135487,1,1,1
ZA,HIG,ALL,810787.5118458454,810787.5118458454,3,1,1
BE,HSA,ALL,874759.5,874759.5,4,0,1
DK,HSA,ALL,83835.0,83835.0,1,0,1
ES,HSA,ALL,23739416.55,23739416.55,10,0,1
FR,HSA,ALL,9340465.080014281,9340465.080014281,95,0,1
GR,HSA,ALL,24804736.380000003,24804736.380000003,9,0,1
HR,HSA,ALL,138855.6,138855.6,1,0,1
IE,HSA,ALL,66108224.11500001,66108224.11500001,52,0,1
IT,HSA,ALL,13343791.5,13343791.5,4,0,1
LI,HSA,ALL,3727784.7,3727784.7,2,0,1
PL,HSA,ALL,13500.0,13500.0,1,0,1
PT,HSA,ALL,12093965.55,12093965.55,3,0,1
RO,HSA,ALL,115712.55,115712.55,1,0,1
SE,HSA,ALL,368177.13,368177.13,3,0,1
SL,HSA,ALL,41040.0,41040.0,1,0,1
AD,HSA,ALL,12706950.600000001,12706950.600000001,5,1,1
AE,HSA,ALL,12372488.64,10176701.22,9,1,1
AT,HSA,ALL,2151184421.1280694,2118568537.2280693,2497,1,1
AU,HSA,ALL,1975431.24,1975431.24,12,1,1
BE,HSA,ALL,12703405179.78,12028431981.6,6013,1,1
BG,HSA,ALL,7301907.000000001,7301907.000000001,6,1,1
BH,HSA,ALL,250560.00000000003,250560.00000000003,1,1,1
BR,HSA,ALL,50112486,25812486,2,1,1
CA,HSA,ALL,756000.0,756000.0,2,1,1
CH,HSA,ALL,483349.6800000001,483349.6800000001,4,1,1
CL,HSA,ALL,204303.6,204303.6,1,1,1
CN,HSA,ALL,1250.64,1250.64,1,1,1
CO,HSA,ALL,40267.8,40267.8,1,1,1
CR,HSA,ALL,79361.64000000001,79361.64000000001,1,1,1
CY,HSA,ALL,5304590.100000001,5304590.100000001,5,1,1
CZ,HSA,ALL,45454205.160000004,45454205.160000004,42,1,1
DE,HSA,ALL,17016495040.01344,16932976420.491232,21741,1,1
DK,HSA,ALL,32981391.592501502,32183382.2925015,91,1,1
ES,HSA,ALL,12380128063.724554,12125405488.844551,6534,1,1
FI,HSA,ALL,14737354.92,14737354.92,64,1,1
FR,HSA,ALL,27872584960.479866,27294533246.682964,27517,1,1
GB,HSA,ALL,1288819897.488719,1265869897.488719,526,1,1
GR,HSA,ALL,66741733.215,66741733.215,42,1,1
HK,HSA,ALL,169577608.32000002,90674804.16,4,1,1
HR,HSA,ALL,289612411.9668,289612411.9668,629,1,1
HU,HSA,ALL,33457402.08,33457402.08,116,1,1
IE,HSA,ALL,7063893426.363988,7063893426.363988,9242,1,1
IL,HSA,ALL,5238408.240000001,5238408.240000001,3,1,1
IN,HSA,ALL,319140.0,319140.0,2,1,1
IS,HSA,ALL,2006487.72,2006487.72,1,1,1
IT,HSA,ALL,639165885.6249346,615340986.9250178,745,1,1
JP,HSA,ALL,27271459.080000002,27271459.080000002,23,1,1
LI,HSA,ALL,81000.0,81000.0,1,1,1
LT,HSA,ALL,64800.00000000001,32400.000000000004,1,1,1
LU,HSA,ALL,491557482.3600001,491557482.3600001,592,1,1
LV,HSA,ALL,5400.0,5400.0,1,1,1
MA,HSA,ALL,31281471.781339496,31281471.781339496,4,1,1
MC,HSA,ALL,1418462545.4284148,1341156543.2237961,634,1,1
MT,HSA,ALL,5839560.1645245,5839560.1645245,13,1,1
MX,HSA,ALL,7107407.640000001,7107407.640000001,9,1,1
NL,HSA,ALL,14385652561.290989,14050626250.530989,8631,1,1
NO,HSA,ALL,58376457.00000001,58376457.00000001,161,1,1
NZ,HSA,ALL,384131.16,384131.16,1,1,1
PE,HSA,ALL,666900.0,666900.0,1,1,1
PL,HSA,ALL,7524004.140000001,7524004.140000001,126,1,1
PT,HSA,ALL,5624519241.184467,5526402293.644468,3338,1,1
RO,HSA,ALL,7989351.840000001,7989351.840000001,12,1,1
RS,HSA,ALL,75600.0,75600.0,1,1,1
RU,HSA,ALL,3114936.0,3114936.0,1,1,1
SA,HSA,ALL,3968591.76,1984295.88,1,1,1
SE,HSA,ALL,122212409.04000002,122212409.04000002,336,1,1
SG,HSA,ALL,298755.0,298755.0,3,1,1
SI,HSA,ALL,3216781.08,3216781.08,12,1,1
SK,HSA,ALL,110160.0,110160.0,3,1,1
TN,HSA,ALL,220320.0,220320.0,1,1,1
TR,HSA,ALL,933228.0000000001,933228.0000000001,4,1,1
US,HSA,ALL,137395384.40153575,136305993.80153573,76,1,1
GB,,is_eu,23640419921.293182,23640419921.293182,39913,0,2
GB,,is_eu,2712489951.9533763,2712489951.9533763,42203,1,2
AT,"33",is_eu,830464.4826,503830.16330058,2,0,2
BE,"33",is_eu,90808.02555768001,45404.012778840006,1,0,2
CZ,"33",is_eu,23160777.437390402,23160777.437390402,1,0,2
FR,"33",is_eu,22792119.227714762,15036554.642285924,7,0,2
GB,"33",is_eu,100305.0,100305.0,1,0,2
NL,"33",is_eu,23315804.834400002,23315804.834400002,3,0,2
PL,"33",is_eu,17153.100000000002,17153.100000000002,1,0,2
SE,"33",is_eu,144017548.04316634,86223843.48932883,5,0,2
AT,"33",is_eu,157524233.21209028,80090025.05667882,10,1,2
BE,"33",is_eu,378555946.31722367,274964107.2062721,57,1,2
CZ,"33",is_eu,768960.0,768960.0,3,1,2
DE,"33",is_eu,248119310.81071174,155929564.71353704,33,1,2
DK,"33",is_eu,835099822.0933458,767326116.887135,154,1,2
FR,"33",is_eu,3056498861.781182,2015996939.1029346,332,1,2
GB,"33",is_eu,12651005043.444614,9697017842.906088,1683,1,2
NL,"33",is_eu,68411727.20472538,58122736.082751885,22,1,2
PL,"33",is_eu,15955786.786863977,15955786.786863977,6,1,2
SE,"33",is_eu,3523062568.148567,3224740725.7053013,462,1,2
GB,"3624",is_eu,7530300.000000001,7530300.000000001,5,1,2
GB,HIC,is_eu,8375254.2,8375254.2,14,0,2
GB,HIC,is_eu,165391394109.65414,165391394109.65414,173171,1,2
BE,HIG,is_eu,30238.42243791272,30238.42243791272,1,0,2
FR,HIG,is_eu,34564144.78369116,17282072.39184558,1,0,2
GB,HIG,is_eu,16946092.818770606,8737202.876743417,5,0,2
AT,HIG,is_eu,14816298.531940578,14816298.531940578,5,1,2
BE,HIG,is_eu,240874332.8349634,224562076.77948344,46,1,2
CZ,HIG,is_eu,3127771.6553723738,3127771.6553723738,2,1,2
DE,HIG,is_eu,105331364.30280092,86362741.31659473,25,1,2
DK,HIG,is_eu,1235330.7771288685,1235330.7771288685,2,1,2
FR,HIG,is_eu,1578328507.206252,1197465775.5506005,242,1,2
GB,HIG,is_eu,1673508321.0178616,1328303336.2904801,267,1,2
NL,HIG,is_eu,30942588.55304986,23013341.31303199,13,1,2
PL,HIG,is_eu,1299960.8300215108,1299960.8300215108,1,1,2
SE,HIG,is_eu,161014273.91737118,55933150.30032652,9,1,2
BE,HSA,is_eu,874759.5,874759.5,4,0,2
DK,HSA,is_eu,83835.0,83835.0,1,0,2
FR,HSA,is_eu,9340465.080014281,9340465.080014281,95,0,2
PL,HSA,is_eu,13500.0,13500.0,1,0,2
SE,HSA,is_eu,368177.13,368177.13,3,0,2
AT,HSA,is_eu,2145356909.501269,2112741025.6012697,2497,1,2
BE,HSA,is_eu,12703405179.78,12028431981.599993,6013,1,2
CZ,HSA,is_eu,45454205.160000004,45454205.160000004,42,1,2
DE,HSA,is_eu,17015944240.013403,16932425620.491194,21741,1,2
DK,HSA,is_eu,32981391.592501502,32183382.2925015,91,1,2
FR,HSA,is_eu,27872584960.47942,27294533246.682484,27517,1,2
GB,HSA,is_eu,1286607650.3287194,1263657650.328719,526,1,2
NL,HSA,is_eu,14385652561.290989,14050626250.530993,8631,1,2
PL,HSA,is_eu,7524004.140000001,7524004.140000001,126,1,2
SE,HSA,is_eu,122212409.03999998,122212409.03999998,336,1,2
JP,"33",is_jp,112842416.11595233,64189409.84705542,10,1,2
JP,HIC,is_jp,372600.0,372600.0,2,1,2
JP,HIG,is_jp,247759313.01614064,144497318.73975253,42,1,2
JP,HSA,is_jp,27271459.080000002,27271459.080000002,23,1,2
JP,"33",is_jp_eq,112842416.11595233,64189409.847055435,10,1,1
JP,HIC,is_jp_eq,372600.0,372600.0,2,1,1
JP,HIG,is_jp_eq,247759313.01614064,144497318.73975256,42,1,1
JP,HSA,is_jp_eq,27271459.080000002,27271459.080000002,23,1,1
CA,"33",is_na_eq,284792662.90411615,143952281.62757933,18,1,1
US,"33",is_na_eq,28892608.617759038,26937355.01662183,5,1,1
CA,"3624",is_na_eq,148500.0,148500.0,1,1,1
US,"3624",is_na_eq,465750.00000000006,465750.00000000006,1,1,1
CA,HIC,is_na_eq,286200.0,286200.0,1,1,1
US,HIC,is_na_eq,778680.0,778680.0,4,1,1
CA,HIG,is_na_eq,10203767.316443913,10203767.316443913,4,1,1
US,HIG,is_na_eq,100637880.85092297,90347699.530506,23,1,1
CA,HSA,is_na_eq,756000.0,756000.0,2,1,1
US,HSA,is_na_eq,6779709.720000001,6779709.720000001,7,1,1
MX,"33",is_nahu,5570458.340227749,5570458.340227749,1,0,2
US,"33",is_nahu,2939741491.9117985,1771607113.620469,305,0,2
MX,"33",is_nahu,25059321.210789915,25059321.210789915,13,1,2
US,"33",is_nahu,392727226.04008025,237721948.74355742,55,1,2
MX,"3624",is_nahu,270000.0,270000.0,1,1,2
US,"3624",is_nahu,3324645.0,3324645.0,3,1,2
US,HIC,is_nahu,136350.0,136350.0,1,0,2
US,HIC,is_nahu,30570795.900000002,30570795.900000002,31,1,2
MX,HIG,is_nahu,529234.5424871021,529234.5424871021,3,0,2
US,HIG,is_nahu,8090936.363678377,7479319.331113447,7,0,2
BH,HIG,is_nahu,48758017.155793615,24379008.577896807,1,1,2
MX,HIG,is_nahu,354567766.8301943,323321380.5034633,90,1,2
US,HIG,is_nahu,1215838558.8789575,892493048.9270041,221,1,2
BH,HSA,is_nahu,250560.00000000003,250560.00000000003,1,1,2
MX,HSA,is_nahu,7107407.640000001,7107407.640000001,9,1,2
US,HSA,is_nahu,137395384.40153575,136305993.80153576,76,1,2
AE,"33",is_non_us,210086.61457001444,210086.61457001444,2,0,1
AR,"33",is_non_us,1728139.7132929175,1728139.7132929175,2,0,1
AT,"33",is_non_us,830464.4826,503830.16330058,2,0,1
AU,"33",is_non_us,18756114.4102309,18756114.4102309,4,0,1
BE,"33",is_non_us,90808.02555768001,45404.012778840006,1,0,1
BM,"33",is_non_us,149007.9938777658,149007.9938777658,1,0,1
BR,"33",is_non_us,55980557.770122945,46207734.77338711,2,0,1
BS,"33",is_non_us,45691.12050421937,45691.12050421937,1,0,1
BW,"33",is_non_us,1105650.0,1105650.0,1,0,1
CH,"33",is_non_us,455287752.0066737,254653752.8459931,31,0,1
CL,"33",is_non_us,12254179.395542976,12254179.395542976,11,0,1
CN,"33",is_non_us,83336767.11848314,60168296.09843293,12,0,1
CO,"33",is_non_us,10564464.789901659,10564464.789901659,7,0,1
CY,"33",is_non_us,11907629.775,11907629.775,3,0,1
CZ,"33",is_non_us,23160777.437390402,23160777.437390402,1,0,1
DO,"33",is_non_us,363608.12963492284,363608.12963492284,1,0,1
EE,"33",is_non_us,75600.0,75600.0,1,0,1
ES,"33",is_non_us,56470650.59189952,32090656.105949763,5,0,1
FR,"33",is_non_us,22792119.227714762,15036554.642285924,7,0,1
GB,"33",is_non_us,100305.0,100305.0,1,0,1
GI,"33",is_non_us,3664028.2500000005,3664028.2500000005,1,0,1
GR,"33",is_non_us,101526194.69247447,93536279.86161366,19,0,1
GT,"33",is_non_us,2748894.4234269457,2748894.4234269457,4,0,1
